m,n,k,avg
0,1998,556,2654,0.244014
0,1081,2523,2392,0.364523
0,294,1081,294,0.00620364
0,1474,1474,1998,0.230557
0,687,294,163,0.00233411
0,1867,425,1605,0.071047
0,556,163,3309,0.0248782
0,2130,3834,32,0.0278543
0,2785,32,425,0.00657491
0,32,3178,3834,0.0495153
0,2916,1212,294,0.0668786
0,1212,163,4096,0.0657559
0,425,556,2261,0.0331005
0,1998,2785,687,0.230899
0,1605,1474,3047,0.386615
0,294,2261,819,0.0365472
0,2261,687,32,0.00702914
0,2654,1212,950,0.173056
0,1867,2392,1736,0.432438
0,3441,819,819,0.139731
0,163,2654,1867,0.0397511
0,3834,32,1212,0.0174202
0,3309,1212,687,0.166469
0,3703,2785,294,0.171216
0,3309,425,1867,0.175666
0,32,3047,2916,0.0423624
0,3572,2130,1343,0.554018
0,3178,32,2916,0.0531772
0,556,2916,1998,0.193436
0,950,1605,1605,0.134641
0,3441,294,687,0.0404393
0,425,2523,950,0.0596728
0,2392,4096,1474,0.806895
0,294,294,2392,0.0149811
0,687,819,3703,0.146676
0,2261,3441,425,0.24791
0,163,950,3441,0.0344393
0,556,687,2654,0.0668675
0,1736,294,950,0.0321948
0,32,556,294,0.00190386
0,425,1343,1736,0.070374
0,1212,3834,1081,0.308011
0,2392,556,687,0.0582661
0,1605,163,1998,0.0432055
0,2785,1867,294,0.0876045
0,1081,1081,1998,0.137221
0,2261,163,1736,0.0394017
0,1474,556,3047,0.160594
0,163,2130,3834,0.118904
0,3309,687,819,0.114174
0,1867,3047,819,0.250568
0,3441,3309,294,0.167509
0,294,819,3047,0.0568992
0,687,32,1081,0.00402606
0,3572,1998,2261,0.896448
0,1474,2523,687,0.142687
0,163,425,1998,0.011916
0,1343,294,1605,0.0483134
0,556,425,32,0.00112314
0,32,3441,1343,0.0207566
0,950,163,2392,0.0317381
0,32,32,950,0.000334607
0,1212,950,556,0.0399048
0,1998,3047,294,0.108799
0,3965,425,1081,0.123368
0,1474,32,3441,0.0217297
0,3834,3965,32,0.0615371
0,2523,1867,294,0.0850493
0,2916,1343,556,0.147654
0,2261,163,1605,0.042927
0,950,2654,294,0.0373571
0,294,1343,556,0.0150853
0,687,556,950,0.0214271
0,163,687,3047,0.0211231
0,556,950,4096,0.130538
0,2916,163,2261,0.0994481
0,32,819,4096,0.0203989
0,2916,1474,32,0.01119
0,1212,425,163,0.00561282
